"Service","Package","Version","Hide","Notes"
"@autorest/autorest","@autorest/autorest","3.0.6187","",""
"@autorest/az","@autorest/az","1.3.4","",""
"@autorest/azureresourceschema","@autorest/azureresourceschema","3.0.79","",""
"@autorest/cli","@autorest/cli","0.1.889","",""
"@autorest/cli.common","@autorest/cli.common","1.0.14","",""
"@autorest/clicommon","@autorest/clicommon","0.4.8","",""
"@autorest/compare","@autorest/compare","0.3.1","",""
"@autorest/core","@autorest/core","3.0.6282","",""
"@autorest/modelerfour","@autorest/modelerfour","4.1.60","",""
"@autorest/powershell","@autorest/powershell","2.1.384","",""
"@autorest/python","@autorest/python","5.0.0-preview.7","",""
"@autorest/remodeler","@autorest/remodeler","2.1.27","",""
"@autorest/test","@autorest/test","0.1.52","",""
"@autorest/test-server","@autorest/test-server","3.0.27","",""
"@azure/abort-controller","@azure/abort-controller","1.0.1","",""
"@azure/ai-form-recognizer","@azure/ai-form-recognizer","1.0.0-preview.2","",""
"@azure/ai-text-analytics","@azure/ai-text-analytics","1.0.0-preview.4","","Will replace: @azure/cognitiveservices-textanalytics"
"@azure/amqp-common","@azure/amqp-common","1.0.0-preview.15","",""
"@azure/app-configuration","@azure/app-configuration","1.0.1","",""
"@azure/applicationinsights-query","@azure/applicationinsights-query","1.1.0","",""
"@azure/arm-advisor","@azure/arm-advisor","1.2.0","",""
"@azure/arm-analysisservices","@azure/arm-analysisservices","2.3.0","",""
"@azure/arm-apimanagement","@azure/arm-apimanagement","6.0.0","",""
"@azure/arm-appconfiguration","@azure/arm-appconfiguration","1.1.0","",""
"@azure/arm-appinsights","@azure/arm-appinsights","2.1.0","",""
"@azure/arm-appservice","@azure/arm-appservice","6.0.0","",""
"@azure/arm-appservice-profile-2019-03-01-hybrid","@azure/arm-appservice-profile-2019-03-01-hybrid","1.0.0","",""
"@azure/arm-authorization","@azure/arm-authorization","8.3.2","",""
"@azure/arm-authorization-profile-2019-03-01-hybrid","@azure/arm-authorization-profile-2019-03-01-hybrid","1.0.0","",""
"@azure/arm-automation","@azure/arm-automation","9.1.0","",""
"@azure/arm-azurestack","@azure/arm-azurestack","2.0.0","",""
"@azure/arm-batch","@azure/arm-batch","4.0.0","",""
"@azure/arm-batchai","@azure/arm-batchai","2.1.0","",""
"@azure/arm-billing","@azure/arm-billing","2.2.0","",""
"@azure/arm-botservice","@azure/arm-botservice","1.0.0","",""
"@azure/arm-cdn","@azure/arm-cdn","4.2.0","",""
"@azure/arm-cognitiveservices","@azure/arm-cognitiveservices","5.1.0","",""
"@azure/arm-commerce","@azure/arm-commerce","2.1.1","",""
"@azure/arm-commitmentplans","@azure/arm-commitmentplans","1.2.0","",""
"@azure/arm-compute","@azure/arm-compute","14.0.0","",""
"@azure/arm-compute-profile-2019-03-01-hybrid","@azure/arm-compute-profile-2019-03-01-hybrid","1.0.0","",""
"@azure/arm-consumption","@azure/arm-consumption","6.3.0","",""
"@azure/arm-containerinstance","@azure/arm-containerinstance","5.4.0","",""
"@azure/arm-containerregistry","@azure/arm-containerregistry","7.0.0","",""
"@azure/arm-containerservice","@azure/arm-containerservice","11.0.0","",""
"@azure/arm-cosmosdb","@azure/arm-cosmosdb","7.0.0","",""
"@azure/arm-customerinsights","@azure/arm-customerinsights","3.1.0","",""
"@azure/arm-databox","@azure/arm-databox","4.0.0","",""
"@azure/arm-databricks","@azure/arm-databricks","1.1.0","",""
"@azure/arm-datacatalog","@azure/arm-datacatalog","1.1.0","",""
"@azure/arm-datafactory","@azure/arm-datafactory","7.0.0","",""
"@azure/arm-datamigration","@azure/arm-datamigration","2.0.0","",""
"@azure/arm-deploymentmanager","@azure/arm-deploymentmanager","3.0.0","",""
"@azure/arm-deviceprovisioningservices","@azure/arm-deviceprovisioningservices","2.1.0","",""
"@azure/arm-devspaces","@azure/arm-devspaces","1.1.0","",""
"@azure/arm-devtestlabs","@azure/arm-devtestlabs","3.2.0","",""
"@azure/arm-dns","@azure/arm-dns","3.2.0","",""
"@azure/arm-dns-profile-2019-03-01-hybrid","@azure/arm-dns-profile-2019-03-01-hybrid","1.0.0","",""
"@azure/arm-domainservices","@azure/arm-domainservices","3.1.0","",""
"@azure/arm-edgegateway","@azure/arm-edgegateway","2.0.1","",""
"@azure/arm-eventgrid","@azure/arm-eventgrid","8.0.0","",""
"@azure/arm-eventhub","@azure/arm-eventhub","3.2.0","",""
"@azure/arm-features","@azure/arm-features","1.0.3","",""
"@azure/arm-frontdoor","@azure/arm-frontdoor","4.0.0","",""
"@azure/arm-hanaonazure","@azure/arm-hanaonazure","3.0.0","",""
"@azure/arm-hdinsight","@azure/arm-hdinsight","0.16.1","",""
"@azure/arm-iotcentral","@azure/arm-iotcentral","3.0.0","",""
"@azure/arm-iothub","@azure/arm-iothub","3.0.0","",""
"@azure/arm-iotspaces","@azure/arm-iotspaces","1.1.0","",""
"@azure/arm-keyvault","@azure/arm-keyvault","1.2.1","",""
"@azure/arm-keyvault-profile-2019-03-01-hybrid","@azure/arm-keyvault-profile-2019-03-01-hybrid","1.0.0","",""
"@azure/arm-kubernetesconfiguration","@azure/arm-kubernetesconfiguration","2.0.0","",""
"@azure/arm-kusto","@azure/arm-kusto","4.0.0","",""
"@azure/arm-labservices","@azure/arm-labservices","1.0.0","",""
"@azure/arm-links","@azure/arm-links","1.0.2","",""
"@azure/arm-locks","@azure/arm-locks","1.1.0","",""
"@azure/arm-locks-profile-hybrid-2019-03-01","@azure/arm-locks-profile-hybrid-2019-03-01","1.0.0","",""
"@azure/arm-logic","@azure/arm-logic","6.0.2","",""
"@azure/arm-machinelearningcompute","@azure/arm-machinelearningcompute","1.1.0","",""
"@azure/arm-machinelearningexperimentation","@azure/arm-machinelearningexperimentation","1.1.0","",""
"@azure/arm-machinelearningservices","@azure/arm-machinelearningservices","3.0.0","",""
"@azure/arm-managedapplications","@azure/arm-managedapplications","1.0.2","",""
"@azure/arm-managementgroups","@azure/arm-managementgroups","1.1.0","",""
"@azure/arm-managementpartner","@azure/arm-managementpartner","1.1.0","",""
"@azure/arm-maps","@azure/arm-maps","1.1.0","",""
"@azure/arm-mariadb","@azure/arm-mariadb","1.4.0","",""
"@azure/arm-marketplaceordering","@azure/arm-marketplaceordering","1.3.1","",""
"@azure/arm-mediaservices","@azure/arm-mediaservices","7.1.0","",""
"@azure/arm-migrate","@azure/arm-migrate","1.1.0","",""
"@azure/arm-mixedreality","@azure/arm-mixedreality","1.0.0","",""
"@azure/arm-monitor","@azure/arm-monitor","6.0.0","",""
"@azure/arm-monitor-profile-2019-03-01-hybrid","@azure/arm-monitor-profile-2019-03-01-hybrid","1.0.0","",""
"@azure/arm-msi","@azure/arm-msi","1.1.0","",""
"@azure/arm-mysql","@azure/arm-mysql","3.3.0","",""
"@azure/arm-netapp","@azure/arm-netapp","8.0.0","",""
"@azure/arm-network","@azure/arm-network","21.0.0","",""
"@azure/arm-network-profile-2019-03-01-hybrid","@azure/arm-network-profile-2019-03-01-hybrid","1.0.0","",""
"@azure/arm-notificationhubs","@azure/arm-notificationhubs","1.2.0","",""
"@azure/arm-operationalinsights","@azure/arm-operationalinsights","1.2.0","",""
"@azure/arm-operations","@azure/arm-operations","2.1.0","",""
"@azure/arm-peering","@azure/arm-peering","1.0.0","",""
"@azure/arm-policy","@azure/arm-policy","3.1.0","",""
