Package,VersionGA,VersionPreview,DisplayName,ServiceName,RepoPath,MSDocs,GHDocs,Type,New,PlannedVersions,FirstGADate,Support,Hide,Replace,Notes
Azure.Storage.Files.Shares,12.6.1,12.7.0-beta.2,Storage - Files Shares,Storage,storage,,,client,TRUE,,12/4/2019,active,,Microsoft.Azure.Storage.File,
Azure.Storage.Queues,12.6.1,12.7.0-beta.2,Storage - Queues,Storage,storage,,,client,TRUE,,10/31/2019,active,,Microsoft.Azure.Storage.Queue,
Azure.Analytics.Synapse.AccessControl,,1.0.0-preview.3,Synapse - AccessControl,Synapse Analytics,synapse,,,client,TRUE,,,,,,
Azure.Analytics.Synapse.Artifacts,,1.0.0-preview.8,Synapse - Artifacts,Synapse Analytics,synapse,,,client,TRUE,,,,,,
Azure.Analytics.Synapse.ManagedPrivateEndpoints,,1.0.0-beta.2,Synapse - Managed Private Endpoints,Synapse Analytics,synapse,,,client,TRUE,,,,,,
Azure.Analytics.Synapse.Monitoring,,1.0.0-beta.2,Synapse - Monitoring,Synapse Analytics,synapse,,,client,TRUE,,,,,,
Azure.Analytics.Synapse.Spark,,1.0.0-preview.5,Synapse - Spark,Synapse Analytics,synapse,,,client,TRUE,,,,,,
System.Memory.Data,1.0.1,,System Memory Data,Core,core,,,client,TRUE,,11/4/2020,active,,,
Azure.Data.Tables,,12.0.0-beta.7,Tables,Tables,tables,,,client,TRUE,,,,,Microsoft.Azure.Cosmos.Table,
Azure.AI.TextAnalytics,5.0.0,5.1.0-beta.6,Text Analytics,Text Analytics,textanalytics,,,client,TRUE,"5.1.0-beta.7,05/11/2021|5.1.0,06/08/2021",6/9/2020,active,,Microsoft.Azure.CognitiveServices.Language.TextAnalytics,
Azure.ResourceManager.AppConfiguration,,1.0.0-preview.1,Resource Management - App Configuration,App Configuration,appconfiguration,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.Communication,1.0.0,,Resource Management - Communication,Communication,communication,NA,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.Compute,,1.0.0-preview.2,Resource Management - Compute,Compute,compute,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.CosmosDB,,1.0.0-preview.1,Resource Management - Cosmos DB,Cosmos DB,cosmosdb,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.Dns,,1.0.0-preview.1,Resource Management - DNS,DNS,dns,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.EventHubs,,1.0.0-preview.1,Resource Management - Event Hubs,Event Hubs,eventhub,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.Insights,,1.0.0-preview.1,Resource Management - Insights,Insights,insights,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.KeyVault,,1.0.0-preview.1,Resource Management - KeyVault,Key Vault,keyvault,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.Network,,1.0.0-preview.2,Resource Management - Network,Virtual Network,network,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.Resources,,1.0.0-preview.2,Resource Management - Resources,Resources,resources,,,mgmt,TRUE,,,preview,,,
Azure.ResourceManager.Storage,,1.0.0-preview.2,Resource Management - Storage,Storage,storage,,,mgmt,TRUE,,,preview,,,
,,,,Active Directory B2C,,NA,NA,,,,,,TRUE,,
,,,,Active Directory Domain Services,,NA,NA,,,,,,TRUE,,
,,,,Advanced Threat Protection,,NA,NA,,,,,,TRUE,,
,,,,API Apps,,NA,NA,,,,,,TRUE,,
,,,,Application Gateway,,NA,NA,,,,,,TRUE,,
,,,,Arc Enabled Servers,,NA,NA,,,,,,TRUE,,
,,,,Archive Storage,,NA,NA,,,,,,TRUE,,
,,,,Artifacts,,NA,NA,,,,,,TRUE,,
,,,,Avere vFXT for Azure,,NA,NA,,,,,,TRUE,,
,,,,Bastion,,NA,NA,,,,,,TRUE,,
,,,,Blockchain Service,,NA,NA,,,,,,TRUE,,
,,,,Blockchain Tokens,,NA,NA,,,,,,TRUE,,
,,,,Blockchain Workbench,,NA,NA,,,,,,TRUE,,
,,,,Boards,,NA,NA,,,,,,TRUE,,
,,,,Cloud Services,,NA,NA,,,,,,TRUE,,
,,,,Cloud Shell,,NA,NA,,,,,,TRUE,,
,,,,Common Data Service,,NA,NA,,,,,,TRUE,,
,,,,Content Protection,,NA,NA,,,,,,TRUE,,
,,,,Customer Lockbox for Microsoft Azure,,NA,NA,,,,,,TRUE,,
,,,,CycleCloud,,NA,NA,,,,,,TRUE,,
,,,,Data Catalog,,NA,NA,,,,,,TRUE,,
,,,,Data Science Virtual Machines,,NA,NA,,,,,,TRUE,,
,,,,Database for MariaDB,,NA,NA,,,,,,TRUE,,
,,,,Databricks,,NA,NA,,,,,,TRUE,,
,,,,DDoS Protection Standard,,NA,NA,,,,,,TRUE,,
,,,,Dedicated Host,,NA,NA,,,,,,TRUE,,
,,,,Dedicated HSM,,NA,NA,,,,,,TRUE,,
,,,,DevOps,,NA,NA,,,,,,TRUE,,
,,,,Disk Storage,,NA,NA,,,,,,TRUE,,
,,,,Encoding,,NA,NA,,,,,,TRUE,,
,,,,Firewall,,NA,NA,,,,,,TRUE,,
,,,,Firewall Manager,,NA,NA,,,,,,TRUE,,
,,,,FXT Edge Filer,,NA,NA,,,,,,TRUE,,
,,,,HPC Cache,,NA,NA,,,,,,TRUE,,
,,,,Internet Analyzer,,NA,NA,,,,,,TRUE,,
,,,,IoT Edge,,NA,NA,,,,,,TRUE,,
,,,,IoT solution accelerators,,NA,NA,,,,,,TRUE,,
,,,,Kubernetes Service,,NA,NA,,,,,,TRUE,,
,,,,Lighthouse,,NA,NA,,,,,,TRUE,,
,,,,Linux Virtual Machines,,NA,NA,,,,,,TRUE,,
,,,,Live and On-Demand Streaming,,NA,NA,,,,,,TRUE,,
,,,,Load Balancer,,NA,NA,,,,,,TRUE,,
,,,,Log Analytics,,NA,NA,,,,,,TRUE,,
,,,,Machine Learning Studio,,NA,NA,,,,,,TRUE,,
,,,,Managed Applications,,NA,NA,,,,,,TRUE,,
,,,,Managed Disks,,NA,NA,,,,,,TRUE,,
,,,,Media Player,,NA,NA,,,,,,TRUE,,
,,,,Microsoft Azure portal,,NA,NA,,,,,,TRUE,,
,,,,Microsoft Genomics,,NA,NA,,,,,,TRUE,,
,,,,Migrate,,NA,NA,,,,,,TRUE,,
,,,,Network Watcher,,NA,NA,,,,,,TRUE,,
,,,,Open Datasets,,NA,NA,,,,,,TRUE,,
,,,,Pipelines,,NA,NA,,,,,,TRUE,,
,,,,Policy,,NA,NA,,,,,,TRUE,,
,,,,Power Apps,,NA,NA,,,,,,TRUE,,
,,,,Power Automate,,NA,NA,,,,,,TRUE,,
,,,,Private Link,,NA,NA,,,,,,TRUE,,
,,,,R Server for HDInsight,,NA,NA,,,,,,TRUE,,
,,,,Red Hat OpenShift (ARO),,NA,NA,,,,,,TRUE,,
,,,,Repos,,NA,NA,,,,,,TRUE,,
,,,,Resource Manager templates,,NA,NA,,,,,,TRUE,,
,,,,RTOS,,NA,NA,,,,,,TRUE,,
,,,,SAP HANA on Azure,,NA,NA,,,,,,TRUE,,
,,,,Service Health,,NA,NA,,,,,,TRUE,,
,,,,Spatial Anchors,,NA,NA,,,,,,TRUE,,
,,,,Speaker Recognition,,NA,NA,,,,,,TRUE,,
,,,,Speech Translation,,NA,NA,,,,,,TRUE,,
,,,,Sphere,,NA,NA,,,,,,TRUE,,
,,,,SQL Database Edge,,NA,NA,,,,,,TRUE,,
,,,,SQL Managed Instance,,NA,NA,,,,,,TRUE,,
,,,,Storage Explorer,,NA,NA,,,,,,TRUE,,
,,,,Test Plans,,NA,NA,,,,,,TRUE,,
,,,,Time Series Insights,,NA,NA,,,,,,TRUE,,
,,,,Translator,,NA,NA,,,,,,TRUE,,
,,,,Video Indexer,,NA,NA,,,,,,TRUE,,
,,,,Virtual Machine Scale Sets,,NA,NA,,,,,,TRUE,,
,,,,Virtual WAN,,NA,NA,,,,,,TRUE,,
,,,,Visual Studio,,NA,NA,,,,,,TRUE,,
,,,,Visual Studio App Center,,NA,NA,,,,,,TRUE,,
,,,,Visual Studio Code,,NA,NA,,,,,,TRUE,,
,,,,Visual Studio Online,,NA,NA,,,,,,TRUE,,
,,,,VMWare by CloudSimple,,NA,NA,,,,,,TRUE,,
,,,,VPN Gateway,,NA,NA,,,,,,TRUE,,
,,,,Web App for Containers,,NA,NA,,,,,,TRUE,,
,,,,Web Apps,,NA,NA,,,,,,TRUE,,
,,,,Windows 10 IoT Core Services,,NA,NA,,,,,,TRUE,,
,,,,Windows Virtual Desktop,,NA,NA,,,,,,TRUE,,
,,,,Xamarin,,NA,NA,,,,,,TRUE,,
Azure.AI.Translation.Document,,1.0.0-beta.1,Azure.AI.Translation.Document,,NA,NA,NA,,FALSE,,,,,,
Azure.Communication.Administration,,1.0.0-beta.3,Azure.Communication.Administration,,NA,NA,NA,,FALSE,,,,,,
Azure.Iot.ModelsRepository,,1.0.0-preview.2,Azure.Iot.ModelsRepository,,NA,NA,NA,,FALSE,,,,,,
Azure.Quantum.Jobs,,1.0.0-beta.2,Azure.Quantum.Jobs,,NA,NA,NA,,FALSE,,,,,,
Microsoft.Azure.Functions.Worker.Core,1.0.0,,Microsoft.Azure.Functions.Worker.Core,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.Abstractions,1.0.0,1.0.0-preview5,Microsoft.Azure.Functions.Worker.Extensions.Abstractions,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.CosmosDB,3.0.9,3.0.9-preview1,Microsoft.Azure.Functions.Worker.Extensions.CosmosDB,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.EventGrid,2.1.0,2.1.0-preview1,Microsoft.Azure.Functions.Worker.Extensions.EventGrid,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.EventHubs,4.2.0,4.2.0-preview1,Microsoft.Azure.Functions.Worker.Extensions.EventHubs,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.Http,3.0.12,3.0.12-preview1,Microsoft.Azure.Functions.Worker.Extensions.Http,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.Kafka,3.2.1,3.2.1-preview1,Microsoft.Azure.Functions.Worker.Extensions.Kafka,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.RabbitMQ,,1.0.0-beta,Microsoft.Azure.Functions.Worker.Extensions.RabbitMQ,,NA,NA,NA,,FALSE,,,,,,
Microsoft.Azure.Functions.Worker.Extensions.ServiceBus,4.2.1,4.2.1-preview1,Microsoft.Azure.Functions.Worker.Extensions.ServiceBus,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.SignalRService,1.2.2,1.2.2-preview1,Microsoft.Azure.Functions.Worker.Extensions.SignalRService,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.Storage,4.0.4,4.0.4-preview1,Microsoft.Azure.Functions.Worker.Extensions.Storage,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.Timer,4.0.1,4.0.1-preview1,Microsoft.Azure.Functions.Worker.Extensions.Timer,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Extensions.Warmup,4.0.1,4.0.1-preview1,Microsoft.Azure.Functions.Worker.Extensions.Warmup,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Grpc,1.0.0,,Microsoft.Azure.Functions.Worker.Grpc,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.ItemTemplates,3.1.1733,,Microsoft.Azure.Functions.Worker.ItemTemplates,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.ProjectTemplates,3.1.1733,,Microsoft.Azure.Functions.Worker.ProjectTemplates,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Sdk.Analyzers,1.0.0,,Microsoft.Azure.Functions.Worker.Sdk.Analyzers,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Management.ChangeAnalysis,,1.0.0-beta.1,Microsoft.Azure.Management.ChangeAnalysis,,NA,NA,NA,,FALSE,,,preview,,,
Microsoft.Azure.Management.DeviceUpdate,,1.0.1-beta.1,Microsoft.Azure.Management.DeviceUpdate,,NA,NA,NA,,FALSE,,,preview,,,
Microsoft.Azure.Management.Healthbot,1.0.0,,Microsoft.Azure.Management.Healthbot,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Management.Kubernetes,,1.0.0-beta.1,Microsoft.Azure.Management.Kubernetes,,NA,NA,NA,,FALSE,,,preview,,,
Microsoft.Azure.Management.KubernetesConfiguration,1.0.0,,Microsoft.Azure.Management.KubernetesConfiguration,,NA,NA,NA,,FALSE,,,active,,,
Microsoft.Azure.Management.ProviderHub,,1.0.0-beta.1,Microsoft.Azure.Management.ProviderHub,,NA,NA,NA,,FALSE,,,preview,,,
Microsoft.Azure.Management.Purview,,1.0.0-beta.1,Microsoft.Azure.Management.Purview,,NA,NA,NA,,FALSE,,,preview,,,
Microsoft.Azure.Management.Quantum,,1.0.0-beta.1,Microsoft.Azure.Management.Quantum,,NA,NA,NA,,FALSE,,,preview,,,
Microsoft.Azure.Management.ServiceFabricManagedClusters,,1.0.0-beta.1,Microsoft.Azure.Management.ServiceFabricManagedClusters,,NA,NA,NA,,FALSE,,,preview,,,
Microsoft.Azure.Messaging.EventGrid.CloudNativeCloudEvents,,1.0.0-beta.1,Microsoft.Azure.Messaging.EventGrid.CloudNativeCloudEvents,,NA,NA,NA,,FALSE,,,,,,
Microsoft.Azure.SignalR.Emulator,,1.0.0-preview1-10723,Microsoft.Azure.SignalR.Emulator,,NA,NA,NA,,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.AnomalyDetector,1.0.0,1.0.0-preview.1,Anomaly Detector,Anomaly Detector,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.AnomalyDetector_1.0.0-preview.1/sdk/cognitiveservices/AnomalyDetector,NA,,client,FALSE,,,active,,Azure.AI.AnomalyDetector,
Microsoft.Azure.AppService,,0.2.2-alpha,App Service,App Service,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.AppService.ApiApps.Common,0.9.36,,App Service - API Apps Common,App Service,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.AppService.ApiApps.Service,0.9.64,,App Service - API Apps Service,App Service,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.ApplicationInsights,,0.9.0-preview,Application Insights,Application Insights,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.ApplicationInsights.Query,1.0.0,,Application Insights - Query,Application Insights,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/applicationinsights/Microsoft.Azure.ApplicationInsights.Query,NA,,client,FALSE,,,active,,,
Azure.AspNetCore.DataProtection.Blobs,,1.0.0-preview.1,ASP.NET DataProtection Blobs,DataProtection,NA,NA,,client,FALSE,,,,TRUE,,Renamed to Azure.Extensions.AspNetCore.DataProtection.Blobs before GA
Azure.AspNetCore.DataProtection.Keys,,1.0.0-preview.1,ASP.NET DataProtection Keys,DataProtection,NA,NA,,client,FALSE,,,,TRUE,,Renamed to Azure.Extensions.AspNetCore.DataProtection.Keys before GA
Microsoft.Azure.Attestation,,0.10.0-preview,Attestation,Attestation,attestation,NA,,client,FALSE,,,,,,
Microsoft.AutoRest.Common,2.4.48,,AutoRest Common,AutoRest,https://github.com/Azure/autorest.common,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Search.AutoSuggest,2.0.0,,Autosuggest,Autosuggest,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Services.AppAuthentication,1.6.1,,Azure Active Directory - App Authentication,Active Directory,NA,NA,NA,client,FALSE,,,active,,,
Azure.Base,,1.0.0-preview.3,Azure Base,Base,NA,NA,NA,client,FALSE,,,,TRUE,,
Azure.Batch.FileStaging,8.0.1,,Azure Batch - File Staging,Batch,NA,NA,NA,client,FALSE,,,active,TRUE,,
Azure.Extensions.Configuration.Secrets,,1.0.0-preview.1,Azure Extensions Configuration Secrets,Extensions,NA,NA,,client,FALSE,,,,TRUE,,Renamed to Azure.Extensions.AspNetCore.Configuration.Secrets before GA
Microsoft.OpenTelemetry.Exporter.AzureMonitor,,1.0.0-beta.1,Azure Monitor Exporter for OpenTelemetry,Monitor,NA,,,client,FALSE,,,,,,
Microsoft.AzureStack.AzureConsistentStorage,,0.10.8-preview,Azure Stack - Azure Consistent Storage,Stack,NA,NA,NA,client,FALSE,,,,,,
Azure.Template,,1.0.3-beta.20201117,Azure Template,template,C:\Git\azure-sdk-for-net\sdk\template,,NA,client,TRUE,,,,TRUE,,
Microsoft.Azure.Batch,14.0.0,,Batch,Batch,batch,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Batch.Apps.Cryptography,1.1.1.4,,Batch - Apps Cryptography,Batch,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Batch.Conventions.Files,3.5.1,,Batch - Conventions Files,Batch,batch,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Batch.FileStaging,8.3.0,,Batch - File Staging,Batch,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/batch/Microsoft.Azure.Batch.FileStaging,NA,,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Search.BingAutoSuggest,,2.1.0-preview.1,Bing Autosuggest,Bing Autosuggest,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingAutoSuggest_2.1.0-preview.1/sdk/cognitiveservices/Search.BingAutoSuggest,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingCustomImageSearch,,2.1.0-preview.1,Bing Custom Image Search,Bing Custom Image Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingCustomImageSearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingCustomImageSearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingCustomSearch,,2.1.0-preview.1,Bing Custom Search,Bing Custom Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingCustomSearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingCustomSearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingEntitySearch,,2.1.0-preview.1,Bing Entity Search,Bing Entity Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingEntitySearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingEntitySearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingImageSearch,,2.1.0-preview.1,Bing Image Search,Bing Image Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingImageSearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingImageSearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingLocalSearch,,1.0.0-preview.1,Bing Local Search,Bing Local Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingLocalSearch_1.0.0-preview.1/sdk/cognitiveservices/Search.BingLocalSearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingNewsSearch,,2.1.0-preview.1,Bing News Search,Bing News Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingNewsSearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingNewsSearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingVideoSearch,,2.1.0-preview.1,Bing Video Search,Bing Video Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingVideoSearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingVideoSearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingVisualSearch,,2.1.0-preview.1,Bing Visual Search,Bing Visual Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingVisualSearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingVisualSearch,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.BingWebSearch,,2.1.0-preview.1,Bing Web Search,Bing Web Search,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Search.BingWebSearch_2.1.0-preview.1/sdk/cognitiveservices/Search.BingWebSearch,NA,,client,FALSE,,,,,,
Microsoft.Rest.ClientRuntime,2.3.22,,Client Runtime,AutoRest,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Rest.ClientRuntime_2.3.21/sdk/mgmtcommon/ClientRuntime,NA,NA,client,FALSE,,,active,,,
Microsoft.Rest.ClientRuntime.Azure,3.3.19,,Client Runtime - Azure,AutoRest,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/mgmtcommon/ClientRuntime.Azure,NA,NA,client,FALSE,,,active,,,
